participant,block,condition,route
P40,3,B,MB2016-412117
P41,1,B,MB2016-410602
P41,2,A,MB2016-412973
P41,3,C,MB2016-412117
P42,1,B,MB2016-412973
P42,2,A,MB2016-412117
P42,3,C,MB2016-410602
P43,1,B,MB2016-412117
P43,2,C,MB2016-410602
P43,3,A,MB2016-412973
P44,1,C,MB2016-412973
P44,2,A,MB2016-412117
P44,3,B,MB2016-410602
P45,1,C,MB2016-412117
P45,2,B,MB2016-410602
P45,3,A,MB2016-412973
P46,1,C,MB2016-412973
P46,2,B,MB2016-412117
P46,3,A,MB2016-410602
P47,1,A,MB2016-412973
P47,2,B,MB2016-412117
P47,3,C,MB2016-410602
P48,1,A,MB2016-412973
P48,2,C,MB2016-412117
P48,3,B,MB2016-410602
P49,1,B,MB2016-412117
P49,2,A,MB2016-410602
P49,3,C,MB2016-412973
P50,1,B,MB2016-410602
P50,2,C,MB2016-412973
P50,3,A,MB2016-412117
P51,1,B,MB2016-412973
P51,2,C,MB2016-412117
P51,3,A,MB2016-410602
P52,1,C,MB2016-412117
P52,2,A,MB2016-410602
P52,3,B,MB2016-412973
P53,1,C,MB2016-410602
P53,2,A,MB2016-412973
P53,3,B,MB2016-412117
P54,1,C,MB2016-410602
P54,2,B,MB2016-412973
P54,3,A,MB2016-412117
P55,1,A,MB2016-412117
P55,2,B,MB2016-410602
P55,3,C,MB2016-412973
P56,1,A,MB2016-410602
P56,2,B,MB2016-412973
P56,3,C,MB2016-412117
P57,1,A,MB2016-412117
P57,2,C,MB2016-410602
P57,3,B,MB2016-412973
P58,1,A,MB2016-410602
P58,2,C,MB2016-412973
P58,3,B,MB2016-412117
P59,1,B,MB2016-410602
P59,2,A,MB2016-412973
P59,3,C,MB2016-412117
P60,1,B,MB2016-412973
P60,2,A,MB2016-412117
P60,3,C,MB2016-410602
P61,1,B,MB2016-412117
P61,2,C,MB2016-410602
P61,3,A,MB2016-412973
P62,1,C,MB2016-412973
P62,2,A,MB2016-412117
P62,3,B,MB2016-410602
P63,1,C,MB2016-412117
P63,2,B,MB2016-410602
P63,3,A,MB2016-412973
P64,1,C,MB2016-412973
P64,2,B,MB2016-412117
P64,3,A,MB2016-410602
P65,1,A,MB2016-412973
P65,2,B,MB2016-412117
P65,3,C,MB2016-410602
P66,1,A,MB2016-412973
P66,2,C,MB2016-412117
P66,3,B,MB2016-410602
P67,1,B,MB2016-412117
P67,2,A,MB2016-410602
P67,3,C,MB2016-412973
P68,1,B,MB2016-410602
P68,2,C,MB2016-412973
P68,3,A,MB2016-412117
P69,1,B,MB2016-412973
P69,2,C,MB2016-412117
P69,3,A,MB2016-410602
P70,1,C,MB2016-412117
P70,2,A,MB2016-410602
P70,3,B,MB2016-412973
P71,1,C,MB2016-410602
P71,2,A,MB2016-412973
P71,3,B,MB2016-412117
P72,1,C,MB2016-410602
P72,2,B,MB2016-412973
P72,3,A,MB2016-412117
P73,1,A,MB2016-412117
P73,2,B,MB2016-410602
P73,3,C,MB2016-412973
P74,1,A,MB2016-410602
P74,2,B,MB2016-412973
P74,3,C,MB2016-412117
P75,1,A,MB2016-412117
P75,2,C,MB2016-410602
P75,3,B,MB2016-412973
P76,1,A,MB2016-410602
P76,2,C,MB2016-412973
P76,3,B,MB2016-412117
P77,1,B,MB2016-410602
P77,2,A,MB2016-412973
P77,3,C,MB2016-412117
P78,1,B,MB2016-412973
P78,2,A,MB2016-412117
P78,3,C,MB2016-410602
P79,1,B,MB2016-412117
P79,2,C,MB2016-410602
P79,3,A,MB2016-412973
P80,1,C,MB2016-412973
P80,2,A,MB2016-412117
P80,3,B,MB2016-410602
P81,1,C,MB2016-412117
P81,2,B,MB2016-410602
P81,3,A,MB2016-412973
P82,1,C,MB2016-412973
P82,2,B,MB2016-412117
P82,3,A,MB2016-410602
P83,1,A,MB2016-412973
P83,2,B,MB2016-412117
P83,3,C,MB2016-410602
P84,1,A,MB2016-412973
P84,2,C,MB2016-412117
P84,3,B,MB2016-410602
P85,1,B,MB2016-412117
P85,2,A,MB2016-410602
P85,3,C,MB2016-412973
P86,1,B,MB2016-410602
P86,2,C,MB2016-412973
P86,3,A,MB2016-412117
P87,1,B,MB2016-412973
P87,2,C,MB2016-412117
P87,3,A,MB2016-410602
P88,1,C,MB2016-412117
P88,2,A,MB2016-410602
P88,3,B,MB2016-412973
P89,1,C,MB2016-410602
P89,2,A,MB2016-412973
P89,3,B,MB2016-412117
P90,1,C,MB2016-410602
P90,2,B,MB2016-412973
P90,3,A,MB2016-412117
P91,1,A,MB2016-412117
P91,2,B,MB2016-410602
P91,3,C,MB2016-412973
P92,1,A,MB2016-410602
P92,2,B,MB2016-412973
P92,3,C,MB2016-412117
P93,1,A,MB2016-412117
P93,2,C,MB2016-410602
P93,3,B,MB2016-412973
P94,1,A,MB2016-410602
P94,2,C,MB2016-412973
P94,3,B,MB2016-412117
P95,1,B,MB2016-410602
P95,2,A,MB2016-412973
P95,3,C,MB2016-412117
P96,1,B,MB2016-412973
P96,2,A,MB2016-412117
P96,3,C,MB2016-410602
P97,1,B,MB2016-412117
P97,2,C,MB2016-410602
P97,3,A,MB2016-412973
P98,1,C,MB2016-412973
P98,2,A,MB2016-412117
P98,3,B,MB2016-410602
P99,1,C,MB2016-412117
P99,2,B,MB2016-410602
P99,3,A,MB2016-412973
P100,1,C,MB2016-412973
P100,2,B,MB2016-412117
P100,3,A,MB2016-410602
